date,account_id,account_name,vendor,currency,cost,supplier_country,purchase_country,description_or_memo,custom_field_business_unit,custom_field_region
2022-01-01,10005x,Light Machinery,Stanley Black & Decker,USD,11200,,,,Business Unit Alpha ,Latin America
2022-01-01,10005x,Light Machinery,Robert Bosch GmbH,EUR,0,,,,Business Unit Alpha ,Europe
2022-02-01,10004x,Technical Equipment,Emerson Electric,EUR,38600,,,,Business Unit Echo,Europe
2022-02-01,10002x,Heavy Equipment,Komatsu,AUD,0,,,,Business Unit Delta ,APAC
2022-02-01,10002x,Heavy Equipment,Deere & Company,EUR,0,,,,Business Unit Echo,Europe
2022-02-01,10005x,Light Machinery,Snap-on Incorporated,AUD,0,,,,Business Unit Charlie,APAC
2022-02-01,10002x,Heavy Equipment,Liebherr Group,USD,0,,,,Business Unit Charlie,North America
2022-02-01,10001x,Construction,Bechtel Corporation,USD,0,,,,Business Unit Charlie,North America
2022-02-01,10005x,Light Machinery,Snap-on Incorporated,EUR,0,,,,Business Unit Bravo,Europe
2022-02-01,10001x,Construction,Bechtel Corporation,USD,0,,,,Business Unit Charlie,Latin America
2022-02-01,10004x,Technical Equipment,Honeywell International,USD,35200,,,,Business Unit Bravo,Latin America
2022-02-01,10001x,Construction,McCarthy Holdings,USD,115500,,,,Business Unit Echo,North America
2022-02-01,10002x,Heavy Equipment,Deere & Company,USD,43000,,,,Business Unit Delta ,Latin America
2022-02-01,10005x,Light Machinery,Bosch Group,EUR,0,,,,Business Unit Echo,Europe
2022-02-01,10003x,Office Fit Out,JLL,EUR,58500,,,,Business Unit Delta ,Europe
2022-02-01,10005x,Light Machinery,Stanley Black & Decker,USD,5000,,,,Business Unit Bravo,Latin America
2022-02-01,10004x,Technical Equipment,Emerson Electric,USD,33600,,,,Business Unit Bravo,North America
2022-02-01,10001x,Construction,Bechtel Corporation,USD,0,,,,Business Unit Charlie,North America
2022-02-01,10003x,Office Fit Out,Newmark Group,USD,58500,,,,Business Unit Bravo,North America
2022-02-01,10001x,Construction,AECOM,AUD,0,,,,Business Unit Echo,APAC
2022-02-01,10005x,Light Machinery,Stanley Black & Decker,USD,0,,,,Business Unit Alpha ,Latin America
2022-02-01,10004x,Technical Equipment,Robert Bosch GmbH,USD,38200,,,,Business Unit Bravo,North America
2022-03-01,10004x,Technical Equipment,Emerson Electric,USD,29600,,,,Business Unit Charlie,Latin America
2022-03-01,10003x,Office Fit Out,CBRE,USD,36000,,,,Business Unit Delta ,North America
2022-03-01,10003x,Office Fit Out,CBRE,AUD,54000,,,,Business Unit Echo,APAC
2022-03-01,10003x,Office Fit Out,Cushman & Wakefield,USD,45000,,,,Business Unit Charlie,Latin America
2022-03-01,10004x,Technical Equipment,Emerson Electric,EUR,34000,,,,Business Unit Delta ,Europe
2022-03-01,10003x,Office Fit Out,Newmark Group,USD,0,,,,Business Unit Alpha ,North America
2022-03-01,10004x,Technical Equipment,Siemens AG,EUR,11000,,,,Business Unit Alpha ,Europe
2022-03-01,10004x,Technical Equipment,Honeywell International,USD,16000,,,,Business Unit Bravo,Latin America
2022-03-01,10005x,Light Machinery,Robert Bosch GmbH,USD,12600,,,,Business Unit Delta ,Latin America
2022-03-01,10003x,Office Fit Out,CBRE,EUR,0,,,,Business Unit Charlie,Europe
2022-03-01,10001x,Construction,AECOM,USD,0,,,,Business Unit Alpha ,Latin America
2022-03-01,10002x,Heavy Equipment,Komatsu,USD,0,,,,Business Unit Bravo,North America
2022-03-01,10005x,Light Machinery,Techtronic Industries,AUD,16000,,,,Business Unit Alpha ,APAC
2022-03-01,10003x,Office Fit Out,Cushman & Wakefield,AUD,0,,,,Business Unit Bravo,APAC
2022-03-01,10001x,Construction,AECOM,AUD,81000,,,,Business Unit Bravo,APAC
2022-03-01,10002x,Heavy Equipment,Liebherr Group,EUR,0,,,,Business Unit Charlie,Europe
2022-03-01,10001x,Construction,DPR Construction,AUD,285000,,,,Business Unit Bravo,APAC
2022-03-01,10004x,Technical Equipment,Emerson Electric,USD,0,,,,Business Unit Echo,North America
2022-03-01,10002x,Heavy Equipment,Komatsu,USD,0,,,,Business Unit Bravo,Latin America
2022-03-01,10002x,Heavy Equipment,Caterpillar,EUR,46000,,,,Business Unit Echo,Europe
2022-04-01,10004x,Technical Equipment,Emerson Electric,USD,35400,,,,Business Unit Bravo,North America
2022-04-01,10002x,Heavy Equipment,Caterpillar,EUR,42000,,,,Business Unit Bravo,Europe
2022-04-01,10003x,Office Fit Out,WeWork,USD,91000,,,,Business Unit Bravo,Latin America
2022-04-01,10001x,Construction,DPR Construction,USD,238500,,,,Business Unit Delta ,North America
2022-04-01,10001x,Construction,AECOM,AUD,298500,,,,Business Unit Delta ,APAC
2022-04-01,10001x,Construction,Turner Construction Management,USD,97500,,,,Business Unit Echo,Latin America
2022-04-01,10003x,Office Fit Out,JLL,USD,39000,,,,Business Unit Alpha ,Latin America
2022-04-01,10002x,Heavy Equipment,Komatsu,USD,79000,,,,Business Unit Bravo,North America
2022-04-01,10004x,Technical Equipment,Honeywell International,AUD,33400,,,,Business Unit Charlie,APAC
2022-04-01,10001x,Construction,Turner Construction Management,EUR,79500,,,,Business Unit Alpha ,Europe
2022-04-01,10004x,Technical Equipment,Emerson Electric,AUD,12400,,,,Business Unit Echo,APAC
2022-04-01,10001x,Construction,Turner Construction Management,USD,265500,,,,Business Unit Alpha ,Latin America
2022-04-01,10004x,Technical Equipment,Schneider Electric,EUR,0,,,,Business Unit Bravo,Europe
2022-04-01,10003x,Office Fit Out,Newmark Group,AUD,0,,,,Business Unit Delta ,APAC
2022-04-01,10003x,Office Fit Out,Cushman & Wakefield,USD,0,,,,Business Unit Charlie,Latin America
2022-04-01,10004x,Technical Equipment,Honeywell International,AUD,18400,,,,Business Unit Bravo,APAC
2022-04-01,10001x,Construction,Turner Construction Management,EUR,0,,,,Business Unit Delta ,Europe
2022-04-01,10005x,Light Machinery,Robert Bosch GmbH,USD,6500,,,,Business Unit Delta ,Latin America
2022-04-01,10003x,Office Fit Out,CBRE,USD,43000,,,,Business Unit Delta ,North America
2022-04-01,10002x,Heavy Equipment,Liebherr Group,AUD,57000,,,,Business Unit Charlie,APAC
2022-05-01,10004x,Technical Equipment,Schneider Electric,AUD,12800,,,,Business Unit Alpha ,APAC
2022-05-01,10002x,Heavy Equipment,Komatsu,USD,65500,,,,Business Unit Alpha ,North America
2022-05-01,10001x,Construction,DPR Construction,USD,165000,,,,Business Unit Delta ,North America
2022-05-01,10004x,Technical Equipment,Schneider Electric,USD,10000,,,,Business Unit Echo,North America
2022-05-01,10005x,Light Machinery,Techtronic Industries,EUR,19700,,,,Business Unit Alpha ,Europe
2022-05-01,10001x,Construction,Turner Construction Management,USD,204000,,,,Business Unit Charlie,Latin America
2022-05-01,10005x,Light Machinery,Snap-on Incorporated,USD,14500,,,,Business Unit Alpha ,Latin America
2022-05-01,10001x,Construction,Bechtel Corporation,USD,109500,,,,Business Unit Delta ,North America
2022-05-01,10005x,Light Machinery,Robert Bosch GmbH,AUD,0,,,,Business Unit Bravo,APAC
2022-05-01,10002x,Heavy Equipment,Caterpillar,USD,0,,,,Business Unit Bravo,North America
2022-05-01,10005x,Light Machinery,Robert Bosch GmbH,USD,15700,,,,Business Unit Delta ,North America
2022-05-01,10002x,Heavy Equipment,Hitachi Construction Machinery,USD,54000,,,,Business Unit Echo,Latin America
2022-05-01,10002x,Heavy Equipment,Hitachi Construction Machinery,EUR,0,,,,Business Unit Bravo,Europe
2022-05-01,10004x,Technical Equipment,Siemens AG,USD,12000,,,,Business Unit Delta ,Latin America
2022-05-01,10002x,Heavy Equipment,Caterpillar,USD,0,,,,Business Unit Delta ,North America
2022-05-01,10004x,Technical Equipment,Siemens AG,AUD,10200,,,,Business Unit Bravo,APAC
2022-05-01,10001x,Construction,Turner Construction Management,USD,267000,,,,Business Unit Alpha ,Latin America
2022-05-01,10005x,Light Machinery,Snap-on Incorporated,USD,0,,,,Business Unit Bravo,North America
2022-05-01,10002x,Heavy Equipment,Liebherr Group,AUD,37500,,,,Business Unit Echo,APAC
2022-05-01,10004x,Technical Equipment,Honeywell International,USD,0,,,,Business Unit Bravo,Latin America
2022-06-01,10005x,Light Machinery,Snap-on Incorporated,EUR,0,,,,Business Unit Charlie,Europe
2022-06-01,10002x,Heavy Equipment,Liebherr Group,USD,0,,,,Business Unit Echo,North America
2022-06-01,10001x,Construction,AECOM,AUD,267000,,,,Business Unit Echo,APAC
2022-06-01,10002x,Heavy Equipment,Hitachi Construction Machinery,EUR,0,,,,Business Unit Alpha ,Europe
2022-06-01,10004x,Technical Equipment,Siemens AG,EUR,16800,,,,Business Unit Charlie,Europe
2022-06-01,10003x,Office Fit Out,WeWork,EUR,33000,,,,Business Unit Delta ,Europe
2022-06-01,10003x,Office Fit Out,WeWork,EUR,0,,,,Business Unit Bravo,Europe
2022-06-01,10002x,Heavy Equipment,Deere & Company,EUR,63500,,,,Business Unit Charlie,Europe
2022-06-01,10003x,Office Fit Out,Cushman & Wakefield,USD,68500,,,,Business Unit Alpha ,North America
2022-06-01,10004x,Technical Equipment,Robert Bosch GmbH,USD,35000,,,,Business Unit Delta ,Latin America
2022-06-01,10001x,Construction,McCarthy Holdings,AUD,255000,,,,Business Unit Echo,APAC
2022-06-01,10004x,Technical Equipment,Siemens AG,AUD,32800,,,,Business Unit Charlie,APAC
2022-06-01,10001x,Construction,Bechtel Corporation,USD,193500,,,,Business Unit Charlie,Latin America
2022-06-01,10002x,Heavy Equipment,Deere & Company,USD,81500,,,,Business Unit Bravo,Latin America
2022-06-01,10002x,Heavy Equipment,Liebherr Group,USD,76500,,,,Business Unit Charlie,Latin America
2022-06-01,10001x,Construction,AECOM,EUR,0,,,,Business Unit Echo,Europe
2022-06-01,10001x,Construction,Turner Construction Management,AUD,78000,,,,Business Unit Bravo,APAC
2022-06-01,10002x,Heavy Equipment,Deere & Company,USD,0,,,,Business Unit Alpha ,Latin America
2022-06-01,10001x,Construction,McCarthy Holdings,AUD,0,,,,Business Unit Bravo,APAC
2022-06-01,10004x,Technical Equipment,Robert Bosch GmbH,USD,0,,,,Business Unit Charlie,Latin America
2022-07-01,10005x,Light Machinery,Bosch Group,EUR,7700,,,,Business Unit Bravo,Europe
2022-07-01,10005x,Light Machinery,Techtronic Industries,EUR,14800,,,,Business Unit Bravo,Europe
2022-07-01,10003x,Office Fit Out,Cushman & Wakefield,USD,0,,,,Business Unit Echo,North America
2022-07-01,10002x,Heavy Equipment,Deere & Company,EUR,63000,,,,Business Unit Delta ,Europe
2022-07-01,10003x,Office Fit Out,Cushman & Wakefield,EUR,0,,,,Business Unit Echo,Europe
2022-07-01,10005x,Light Machinery,Bosch Group,AUD,5300,,,,Business Unit Charlie,APAC
2022-07-01,10003x,Office Fit Out,WeWork,AUD,0,,,,Business Unit Alpha ,APAC
2022-07-01,10002x,Heavy Equipment,Caterpillar,AUD,65000,,,,Business Unit Alpha ,APAC
2022-07-01,10003x,Office Fit Out,JLL,EUR,0,,,,Business Unit Delta ,Europe
2022-07-01,10001x,Construction,DPR Construction,AUD,84000,,,,Business Unit Charlie,APAC
2022-07-01,10003x,Office Fit Out,JLL,AUD,59500,,,,Business Unit Bravo,APAC
2022-07-01,10002x,Heavy Equipment,Liebherr Group,EUR,28000,,,,Business Unit Alpha ,Europe
2022-07-01,10001x,Construction,Bechtel Corporation,USD,0,,,,Business Unit Echo,Latin America
2022-07-01,10004x,Technical Equipment,Emerson Electric,USD,21800,,,,Business Unit Charlie,Latin America
2022-07-01,10005x,Light Machinery,Robert Bosch GmbH,EUR,10100,,,,Business Unit Bravo,Europe
2022-07-01,10001x,Construction,Bechtel Corporation,AUD,81000,,,,Business Unit Delta ,APAC
2022-07-01,10001x,Construction,Turner Construction Management,USD,0,,,,Business Unit Delta ,Latin America
2022-07-01,10001x,Construction,AECOM,USD,0,,,,Business Unit Bravo,North America
2022-07-01,10004x,Technical Equipment,Siemens AG,EUR,0,,,,Business Unit Alpha ,Europe
2022-07-01,10002x,Heavy Equipment,Caterpillar,EUR,87500,,,,Business Unit Bravo,Europe
2022-08-01,10001x,Construction,McCarthy Holdings,USD,0,,,,Business Unit Echo,North America
2022-08-01,10004x,Technical Equipment,Robert Bosch GmbH,USD,25400,,,,Business Unit Echo,Latin America
2022-08-01,10005x,Light Machinery,Techtronic Industries,EUR,6700,,,,Business Unit Echo,Europe
2022-08-01,10001x,Construction,DPR Construction,USD,0,,,,Business Unit Charlie,North America
2022-08-01,10002x,Heavy Equipment,Deere & Company,USD,87500,,,,Business Unit Delta ,Latin America
2022-08-01,10001x,Construction,Bechtel Corporation,AUD,174000,,,,Business Unit Delta ,APAC
2022-08-01,10001x,Construction,DPR Construction,EUR,0,,,,Business Unit Alpha ,Europe
2022-08-01,10004x,Technical Equipment,Emerson Electric,USD,35600,,,,Business Unit Echo,North America
2022-08-01,10001x,Construction,DPR Construction,USD,0,,,,Business Unit Delta ,North America
2022-08-01,10005x,Light Machinery,Bosch Group,AUD,17600,,,,Business Unit Bravo,APAC
2022-08-01,10003x,Office Fit Out,CBRE,USD,0,,,,Business Unit Charlie,North America
2022-08-01,10005x,Light Machinery,Robert Bosch GmbH,USD,0,,,,Business Unit Charlie,Latin America
2022-08-01,10005x,Light Machinery,Techtronic Industries,AUD,9600,,,,Business Unit Delta ,APAC
2022-08-01,10001x,Construction,AECOM,USD,208500,,,,Business Unit Alpha ,Latin America
2022-08-01,10003x,Office Fit Out,Cushman & Wakefield,USD,77000,,,,Business Unit Alpha ,North America
2022-08-01,10001x,Construction,AECOM,USD,171000,,,,Business Unit Echo,Latin America
2022-08-01,10002x,Heavy Equipment,Liebherr Group,USD,0,,,,Business Unit Charlie,North America
2022-08-01,10005x,Light Machinery,Snap-on Incorporated,EUR,18500,,,,Business Unit Alpha ,Europe
2022-08-01,10005x,Light Machinery,Techtronic Industries,EUR,14700,,,,Business Unit Echo,Europe
2022-08-01,10004x,Technical Equipment,Emerson Electric,AUD,29400,,,,Business Unit Delta ,APAC
2022-09-01,10005x,Light Machinery,Stanley Black & Decker,USD,11100,,,,Business Unit Bravo,Latin America
2022-09-01,10001x,Construction,Turner Construction Management,USD,271500,,,,Business Unit Delta ,Latin America
2022-09-01,10004x,Technical Equipment,Honeywell International,AUD,39800,,,,Business Unit Alpha ,APAC
2022-09-01,10002x,Heavy Equipment,Caterpillar,EUR,0,,,,Business Unit Bravo,Europe
2022-09-01,10003x,Office Fit Out,Cushman & Wakefield,USD,0,,,,Business Unit Charlie,Latin America
2022-09-01,10004x,Technical Equipment,Emerson Electric,USD,0,,,,Business Unit Charlie,North America
2022-09-01,10004x,Technical Equipment,Robert Bosch GmbH,EUR,37200,,,,Business Unit Alpha ,Europe
2022-09-01,10004x,Technical Equipment,Schneider Electric,USD,15600,,,,Business Unit Charlie,North America
2022-09-01,10003x,Office Fit Out,Cushman & Wakefield,USD,98500,,,,Business Unit Bravo,Latin America
2022-09-01,10004x,Technical Equipment,Honeywell International,AUD,11000,,,,Business Unit Charlie,APAC
2022-09-01,10002x,Heavy Equipment,Deere & Company,EUR,71500,,,,Business Unit Delta ,Europe
2022-09-01,10001x,Construction,Turner Construction Management,USD,261000,,,,Business Unit Charlie,Latin America
2022-09-01,10002x,Heavy Equipment,Deere & Company,EUR,0,,,,Business Unit Bravo,Europe
2022-09-01,10002x,Heavy Equipment,Deere & Company,EUR,0,,,,Business Unit Delta ,Europe
2022-09-01,10001x,Construction,Bechtel Corporation,USD,82500,,,,Business Unit Alpha ,Latin America
2022-09-01,10003x,Office Fit Out,WeWork,EUR,79000,,,,Business Unit Bravo,Europe
2022-09-01,10005x,Light Machinery,Bosch Group,USD,17300,,,,Business Unit Charlie,North America
2022-09-01,10004x,Technical Equipment,Emerson Electric,AUD,17800,,,,Business Unit Bravo,APAC
2022-09-01,10002x,Heavy Equipment,Komatsu,USD,74000,,,,Business Unit Echo,North America
2022-09-01,10004x,Technical Equipment,Honeywell International,USD,19000,,,,Business Unit Alpha ,North America
2022-10-01,10002x,Heavy Equipment,Komatsu,USD,96000,,,,Business Unit Charlie,North America
2022-10-01,10001x,Construction,DPR Construction,EUR,232500,,,,Business Unit Bravo,Europe
2022-10-01,10001x,Construction,Bechtel Corporation,AUD,300000,,,,Business Unit Bravo,APAC
2022-10-01,10002x,Heavy Equipment,Liebherr Group,AUD,72500,,,,Business Unit Bravo,APAC
2022-10-01,10004x,Technical Equipment,Siemens AG,USD,22600,,,,Business Unit Delta ,North America
2022-10-01,10001x,Construction,DPR Construction,EUR,268500,,,,Business Unit Echo,Europe
2022-10-01,10003x,Office Fit Out,JLL,EUR,45000,,,,Business Unit Bravo,Europe
2022-10-01,10005x,Light Machinery,Robert Bosch GmbH,USD,8100,,,,Business Unit Charlie,North America
2022-10-01,10002x,Heavy Equipment,Komatsu,USD,51000,,,,Business Unit Delta ,Latin America
2022-10-01,10003x,Office Fit Out,Cushman & Wakefield,USD,91500,,,,Business Unit Echo,North America
2022-10-01,10003x,Office Fit Out,Newmark Group,USD,54500,,,,Business Unit Alpha ,Latin America
2022-10-01,10005x,Light Machinery,Snap-on Incorporated,EUR,18500,,,,Business Unit Echo,Europe
2022-10-01,10002x,Heavy Equipment,Hitachi Construction Machinery,USD,88500,,,,Business Unit Charlie,Latin America
2022-10-01,10003x,Office Fit Out,JLL,USD,67000,,,,Business Unit Bravo,Latin America
2022-10-01,10005x,Light Machinery,Snap-on Incorporated,AUD,0,,,,Business Unit Bravo,APAC
2022-10-01,10005x,Light Machinery,Snap-on Incorporated,USD,14000,,,,Business Unit Bravo,Latin America
2022-10-01,10001x,Construction,AECOM,EUR,205500,,,,Business Unit Echo,Europe
2022-10-01,10002x,Heavy Equipment,Komatsu,USD,0,,,,Business Unit Bravo,North America
2022-10-01,10004x,Technical Equipment,Robert Bosch GmbH,USD,0,,,,Business Unit Bravo,Latin America
2022-10-01,10005x,Light Machinery,Snap-on Incorporated,USD,0,,,,Business Unit Alpha ,Latin America
2022-11-01,10005x,Light Machinery,Stanley Black & Decker,EUR,6100,,,,Business Unit Bravo,Europe
2022-11-01,10003x,Office Fit Out,CBRE,AUD,99000,,,,Business Unit Alpha ,APAC
2022-11-01,10005x,Light Machinery,Techtronic Industries,USD,5200,,,,Business Unit Bravo,Latin America
2022-11-01,10005x,Light Machinery,Robert Bosch GmbH,AUD,19600,,,,Business Unit Alpha ,APAC
2022-11-01,10001x,Construction,Turner Construction Management,USD,246000,,,,Business Unit Alpha ,Latin America
2022-11-01,10005x,Light Machinery,Snap-on Incorporated,USD,13100,,,,Business Unit Echo,North America
2022-11-01,10001x,Construction,McCarthy Holdings,EUR,0,,,,Business Unit Charlie,Europe
2022-11-01,10002x,Heavy Equipment,Caterpillar,AUD,46000,,,,Business Unit Echo,APAC
2022-11-01,10002x,Heavy Equipment,Komatsu,AUD,98500,,,,Business Unit Delta ,APAC
2022-11-01,10005x,Light Machinery,Techtronic Industries,USD,0,,,,Business Unit Alpha ,North America
2022-11-01,10001x,Construction,AECOM,EUR,184500,,,,Business Unit Delta ,Europe
2022-11-01,10003x,Office Fit Out,WeWork,USD,71500,,,,Business Unit Echo,North America
2022-11-01,10004x,Technical Equipment,Robert Bosch GmbH,USD,0,,,,Business Unit Echo,North America
2022-11-01,10004x,Technical Equipment,Robert Bosch GmbH,AUD,0,,,,Business Unit Delta ,APAC
2022-11-01,10005x,Light Machinery,Bosch Group,USD,0,,,,Business Unit Echo,North America
2022-11-01,10005x,Light Machinery,Snap-on Incorporated,EUR,5600,,,,Business Unit Charlie,Europe
2022-11-01,10004x,Technical Equipment,Siemens AG,USD,10400,,,,Business Unit Charlie,North America
2022-11-01,10003x,Office Fit Out,CBRE,EUR,0,,,,Business Unit Charlie,Europe
2022-11-01,10004x,Technical Equipment,Emerson Electric,USD,39000,,,,Business Unit Charlie,Latin America
2022-11-01,10003x,Office Fit Out,JLL,AUD,54000,,,,Business Unit Alpha ,APAC
2022-12-01,10004x,Technical Equipment,Robert Bosch GmbH,EUR,0,,,,Business Unit Alpha ,Europe
2022-12-01,10004x,Technical Equipment,Robert Bosch GmbH,EUR,0,,,,Business Unit Delta ,Europe
2022-12-01,10003x,Office Fit Out,Newmark Group,AUD,0,,,,Business Unit Delta ,APAC
2022-12-01,10005x,Light Machinery,Stanley Black & Decker,AUD,9300,,,,Business Unit Charlie,APAC
2022-12-01,10004x,Technical Equipment,Siemens AG,EUR,19400,,,,Business Unit Alpha ,Europe
2022-12-01,10003x,Office Fit Out,CBRE,AUD,35500,,,,Business Unit Delta ,APAC
2022-12-01,10005x,Light Machinery,Stanley Black & Decker,AUD,12300,,,,Business Unit Charlie,APAC
2022-12-01,10002x,Heavy Equipment,Liebherr Group,AUD,27000,,,,Business Unit Alpha ,APAC
2022-12-01,10001x,Construction,DPR Construction,USD,286500,,,,Business Unit Alpha ,Latin America
2022-12-01,10003x,Office Fit Out,WeWork,AUD,30000,,,,Business Unit Delta ,APAC
2022-12-01,10001x,Construction,Bechtel Corporation,AUD,79500,,,,Business Unit Alpha ,APAC
2022-12-01,10004x,Technical Equipment,Siemens AG,EUR,0,,,,Business Unit Alpha ,Europe
2022-12-01,10003x,Office Fit Out,Cushman & Wakefield,AUD,49500,,,,Business Unit Alpha ,APAC
2022-12-01,10002x,Heavy Equipment,Caterpillar,USD,0,,,,Business Unit Bravo,Latin America
2022-12-01,10003x,Office Fit Out,Newmark Group,USD,69000,,,,Business Unit Alpha ,Latin America
2022-12-01,10005x,Light Machinery,Snap-on Incorporated,AUD,9000,,,,Business Unit Charlie,APAC
2022-12-01,10005x,Light Machinery,Techtronic Industries,AUD,0,,,,Business Unit Delta ,APAC
2022-12-01,10002x,Heavy Equipment,Liebherr Group,AUD,42500,,,,Business Unit Delta ,APAC
2022-12-01,10002x,Heavy Equipment,Deere & Company,AUD,0,,,,Business Unit Alpha ,APAC
2022-12-01,10002x,Heavy Equipment,Deere & Company,USD,99500,,,,Business Unit Echo,Latin America
2023-01-01,10003x,Office Fit Out,JLL,EUR,41000,,,,Business Unit Bravo,Europe
2023-01-01,10003x,Office Fit Out,CBRE,USD,36500,,,,Business Unit Echo,Latin America
2023-01-01,10002x,Heavy Equipment,Liebherr Group,AUD,55500,,,,Business Unit Bravo,APAC
2023-01-01,10005x,Light Machinery,Snap-on Incorporated,USD,7500,,,,Business Unit Charlie,North America
2023-01-01,10005x,Light Machinery,Techtronic Industries,USD,17500,,,,Business Unit Bravo,North America
2023-01-01,10001x,Construction,McCarthy Holdings,EUR,0,,,,Business Unit Charlie,Europe
2023-01-01,10002x,Heavy Equipment,Caterpillar,AUD,44000,,,,Business Unit Echo,APAC
2023-01-01,10003x,Office Fit Out,CBRE,EUR,43000,,,,Business Unit Alpha ,Europe
2023-01-01,10002x,Heavy Equipment,Deere & Company,AUD,43000,,,,Business Unit Charlie,APAC
2023-01-01,10001x,Construction,McCarthy Holdings,EUR,184500,,,,Business Unit Alpha ,Europe
2023-01-01,10002x,Heavy Equipment,Komatsu,EUR,70000,,,,Business Unit Echo,Europe
2023-01-01,10001x,Construction,Bechtel Corporation,USD,232500,,,,Business Unit Delta ,North America
2023-01-01,10003x,Office Fit Out,WeWork,AUD,0,,,,Business Unit Echo,APAC
2023-01-01,10001x,Construction,Bechtel Corporation,USD,0,,,,Business Unit Delta ,North America
2023-01-01,10004x,Technical Equipment,Siemens AG,EUR,17800,,,,Business Unit Alpha ,Europe
2023-01-01,10004x,Technical Equipment,Robert Bosch GmbH,AUD,13200,,,,Business Unit Bravo,APAC
2023-01-01,10002x,Heavy Equipment,Caterpillar,AUD,0,,,,Business Unit Charlie,APAC
2023-01-01,10005x,Light Machinery,Bosch Group,USD,19600,,,,Business Unit Delta ,North America
2023-01-01,10003x,Office Fit Out,Cushman & Wakefield,AUD,71500,,,,Business Unit Bravo,APAC
2023-01-01,10005x,Light Machinery,Robert Bosch GmbH,EUR,0,,,,Business Unit Delta ,Europe
2023-02-01,10005x,Light Machinery,Stanley Black & Decker,USD,15700,,,,Business Unit Delta ,Latin America
2023-02-01,10004x,Technical Equipment,Siemens AG,AUD,25400,,,,Business Unit Bravo,APAC
2023-02-01,10001x,Construction,Turner Construction Management,USD,268500,,,,Business Unit Charlie,North America
2023-02-01,10002x,Heavy Equipment,Deere & Company,EUR,91500,,,,Business Unit Echo,Europe
2023-02-01,10001x,Construction,McCarthy Holdings,EUR,0,,,,Business Unit Delta ,Europe
2023-02-01,10004x,Technical Equipment,Robert Bosch GmbH,EUR,33600,,,,Business Unit Alpha ,Europe
2023-02-01,10002x,Heavy Equipment,Liebherr Group,USD,0,,,,Business Unit Echo,North America
2023-02-01,10001x,Construction,McCarthy Holdings,USD,0,,,,Business Unit Alpha ,Latin America
2023-02-01,10001x,Construction,Turner Construction Management,USD,100500,,,,Business Unit Delta ,Latin America
2023-02-01,10004x,Technical Equipment,Emerson Electric,AUD,16600,,,,Business Unit Charlie,APAC
2023-02-01,10004x,Technical Equipment,Robert Bosch GmbH,USD,23000,,,,Business Unit Delta ,North America
2023-02-01,10005x,Light Machinery,Techtronic Industries,AUD,0,,,,Business Unit Delta ,APAC
2023-02-01,10002x,Heavy Equipment,Komatsu,USD,0,,,,Business Unit Charlie,Latin America
2023-02-01,10003x,Office Fit Out,Newmark Group,USD,0,,,,Business Unit Charlie,Latin America
2023-02-01,10002x,Heavy Equipment,Deere & Company,EUR,0,,,,Business Unit Alpha ,Europe
2023-02-01,10004x,Technical Equipment,Honeywell International,USD,29600,,,,Business Unit Delta ,North America
2023-02-01,10001x,Construction,DPR Construction,USD,0,,,,Business Unit Bravo,North America
2023-02-01,10001x,Construction,Bechtel Corporation,EUR,156000,,,,Business Unit Charlie,Europe
2023-02-01,10004x,Technical Equipment,Honeywell International,EUR,36800,,,,Business Unit Delta ,Europe
